filename,Project name,Value,Exact Excerpt,Explanation
P7396_License_19860416.pdf,Abiquiu Hydroelectric Project,No minimum flow mandated during operation,"�The project would be operated in a run-of-river mode, using only those flows made available as a result of the Corps' operation of reservoir. Thus, during operation the Applicant would not control releases from the dam.� ""Any change in project operation that included diurnal and weekly flow fluctuations for hydropower production would require the approval of the Corps and an amendment of the License.""","The project is required to follow USACE/Corps reservoir operating procedures and has no separate minimum flow requirement mandated by the FERC license for project operations. Temporary minimum flows (e.g., 50 cfs in construction) are only required during construction, not normal hydro operations."
P13124_License_20130801.pdf,Allison Creek Hydroelectric Project,"10 cfs (June 16�Oct 31), 8 cfs (Nov 1�June 15), 2 cfs year-round at diversion dam",�Article 402. �The licensee shall provide a flow release at the diversion dam into the project bypassed reach that is sufficient to meet the following requirements when the project is operating: (1) 2 cubic feet per second (cfs) as measured at the streamflow gage constructed immediately downstream of the diversion dam� (2) 10 cfs from June 16 through October 31 as measured at the streamflow gage� (3) 8 cfs from November 1 through June 15��,"The license requires a year-round minimum of 2 cfs at the diversion dam, plus seasonal minimums in the lower bypassed reach: 10 cfs (June 16�Oct 31), 8 cfs (Nov 1�June 15). These measures protect aquatic habitat and are enforced via Article 402 and compliance monitoring."
P2307_License_20180206.pdf,Annex Creek and Salmon Creek Hydroelectric Project,"3 cfs required (Salmon Creek bypassed reach, conditional)","�Article 402. Minimum Instream Flow. If flow at the licensee�s gage, located approximately 0.3 mile upstream from the Egan Expressway Bridge, is less than 9 cubic feet per second (cfs), the licensee must release a minimum flow of 3 cfs from the base of Salmon Creek Dam into the Salmon Creek bypassed reach.�","There is a mandated minimum release of 3 cfs, but only if the flow at the gage in the lower Salmon Creek bypassed reach falls below 9 cfs. This minimum applies to the Salmon Creek bypassed reach, not the Annex Creek development."
P1922_License_19941107.pdf,Beaver Falls Project,5.6 cfs,"""The licensee shall permit the diversion of 5.6 cubic feet per second of water from the project penstock, in accordance with the agreement dated November 9, 1992, between the licensee, city of Ketchikan, and the Southern Southeast Regional Aquaculture Association, Incorporated (SSRAA), for operating the Beaver Falls Sockeye Hatchery facilities.""","Mandated diversion from project penstock for operation of Beaver Falls Sockeye Hatchery, per agreement (Nov 9, 1992) and FERC license Article 401."
P10440_License_19931109.pdf,Black Bear Lake Project,"Seasonal schedule (9�24 cfs required, by month)","�Article 405. The licensee shall release from the Black Bear Lake Project into Black Bear Creek minimum flows according to the following table� January: 9 cfs; February: 12 cfs; March: 9 cfs; April: 15 cfs; May: 22 cfs; June: 15 cfs; July: 19 cfs; August: 17 cfs; September: 24 cfs; October: 20 cfs; November: 15 cfs; December: 9 cfs.� (Article 405, p. 19�20)","The license mandates a specific, seasonally varying schedule of minimum flows to Black Bear Creek. The required release ranges from 9 to 24 cfs depending on the month. This schedule is mandated for aquatic habitat protection."
P201_License_20030827.pdf,Blind Slough Project,8.2 cfs,"�Although the 1980 license had no minimum flow requirement, Article 33 required the licensee to consult and cooperate with Alaska Fish and Game and other agencies for the protection and development of the environmental resources and values of the project area.� (p. 2) �... operated as a base load unit at a minimum output of 400 kW (8.0 cubic feet per second (cfs)).� (p. 3)Article 403: �The licensee shall supply the Crystal Lake Hatchery with flow from the powerhouse tailrace conduits as requested by hatchery personnel up to the following monthly instantaneous flow amounts: � May 8.2 � December 12.3�","No mandated minimum flow to the river for instream/ environmental purposes. There are required operational flows for the hatchery (8.0 cfs for Unit 3), and monthly supply flows, but these are for hatchery operation, not mandated river release."
P2230_License_20070710.pdf,Blue Lake Project,"70 cfs required (April 15�June 30), 50 cfs required (July 1�April 14)","""In its application, the City proposes to: (1) release 70 cfs or the maximum hydraulic capacity, whichever is less, from April 15 through June 30, and 50 cfs from July 1 through April 14, from the project�s Fish Valve Unit into the Sawmill Creek bypassed reach."" (p. 4)","The new license mandates seasonal minimum instream bypass flows for the protection of fish habitat. From April 15 to June 30, the minimum release is 70 cfs; from July 1 to April 14, the minimum release is 50 cfs. Lower releases may occur only if hydraulic capacity is less than these values."
Bonneville Dam Reservoir Regulation Manual_OCT2014_Redacted.pdf,Bonneville Dam,"Variable (70,000�80,000 cfs minimum instantaneous; 100,000 cfs minimum daily, or 80% of weekly inflow, min 70,000 cfs; 58,000 cfs allowed Nov 1�Jan 15 for chum spawning)","�Minimum instantaneous flows range from 70,000 to 80,000 cfs depending on weekly average inflow. Minimum daily flows are 100,000 cfs, or 80% of weekly average, but not less than 70,000 cfs. During chum spawning (Nov 1�Jan 15), flows may drop to 58,000 cfs under certain conditions.� (Table 3, p. 38)","The license establishes complex, seasonally varying minimum flow requirements to support peaking power, navigation, and fish spawning needs. Requirements are based on weekly average inflow, with lower limits for chum spawning periods."
P13526_License_20100819.pdf,Bowersock Expanded Kansas River Hydroelectric Project,Run-of-river required; no minimum cfs specified,"Article 401: ""To protect aquatic resources in the Kansas River, the licensee shall operate the Expanded Kansas River Hydroelectric Project in run-of-river (ROR) mode, where instantaneous outflows approximate instantaneous inflows to the project. In addition, the licensee shall operate the project to maintain the level of the Bowersock Millpond at elevation 813.5 feet National Geodetic Vertical Datum (NGVD), with deviations no greater than plus or minus 6 inches due to operational constraints.""","The license requires continuous run-of-river operation (matching inflow to outflow) and maintaining the millpond water surface elevation, but does not set a specific minimum volumetric (cfs) release to the river. The minimum release equals whatever enters the reservoir, unless mutually agreed or during emergencies."
P8221_License_19851231.pdf,Bradley Lake Project,Not mentioned,"No mandated minimum flow requirement is specified anywhere in the license. The license includes monitoring and consultation provisions (Articles 33�34) for water quality and fish populations in the lower Bradley River, with adaptive management if issues are detected, but no specific minimum flow.","The license does not contain any required instream flow release or mandated minimum for ecological, municipal, or other uses. Any such requirements would be set only if post-operation studies recommend a change in project operations."
P10773_License_19900131.pdf,Burnett River Hatchery Project,"55 cfs required (or natural flow, if less)","�Article 105. During the construction and operation of the facilities authorized by this license, the licensee shall maintain each year, immediately below the point of diversion in Burnett River, the following continuous, minimum flows or the natural flows, whichever are less, as measured immediately below the point of proposed diversion: Year Round 55 cubic feet per second (cfs).�","The license mandates a continuous minimum flow of 55 cfs (or natural flow, if less) to the Burnett River for aquatic resource protection. This requirement is specified in Article 105 and throughout the Environmental Assessment."
