filename,Manual_Value_Observed,LLM_Value,Category
BigBend_WCM_2018.pdf,No explicit min flow,Not mentioned.,To Review
Bonneville Dam Reservoir Regulation Manual_OCT2014_Redacted.pdf,"70,000-100,000 cfs (typical) 58,000 cfs (exceptional)","Not mentioned. 

Although there is a mention of river flow (150,000 cfs) and pool levels, there is no specific mention of minimum flow requirements or releases in the provided document text.",To Review
DaleHollow_WCM_2021.pdf,"1 hour generation daily, June 1-Nov 15 (no cfs stated)","Not mentioned. 

The document provided does not contain any information about minimum flow requirements or releases for the Dale Hollow Dam and Reservoir project. It appears to be a table of contents and introduction to a water control manual, with no specific details on flow requirements.",To Review
FortPeck_WCM_2018.pdf,3000 cfs,Not mentioned.,To Review
Grand Coulee WCM.pdf,"No explicit minimum flow for Grand Coulee itself. Releases may be managed to help maintain a 36,000 cfs minimum flow at Priest Rapids Dam downstream during refill, but no mandated minimum outflow from Grand Coulee is specified in this manual.",Not mentioned.,To Review
LaurelRiver_WCM_2017.pdf,0.5 hr generation every other day (no cfs stated),"Not mentioned. 

The document provided does not mention a minimum flow requirement or minimum release requirement for the Laurel River Dam and Reservoir project. It discusses various aspects of the project, including its purpose, physical components, water control plan, and effects on the environment, but it does not specify a minimum flow rate that must be maintained.",To Review
P10198_License_19880427.pdf,"3 cfs required (or inflow, if less)","Not mentioned. 

The document does not mention a specific minimum flow requirement or minimum release requirement for the project. It discusses run-of-river operation, fish exclusion, and other environmental considerations, but does not provide a numerical value for minimum flow.",To Review
P10228_License_19910621.pdf,"4,000 cfs required (or inflow, if less)",Not mentioned.,To Review
P10440_License_19931109.pdf,"Seasonal schedule (9-24 cfs required, by month)","Not mentioned. 

The document does not mention any minimum flow requirements or releases for the Black Bear Lake Project. It discusses various aspects of the project, including environmental assessments, conservation efforts, and license conditions, but does not specify any minimum flow values or conditions.",To Review
P1051_License_20070817.pdf,0.464 cfs required (municipal water right),"Not mentioned. 

Although the document mentions the project's maximum hydraulic capacity (32 cfs) and minimum hydraulic capacity (0.6 cfs), it does not specify a minimum flow requirement or release for environmental or other purposes. Therefore, the answer is ""Not mentioned"".",To Review
P10773_License_19900131.pdf,"55 cfs required (or natural flow, if less)","Not mentioned. 

The document does not mention a minimum flow requirement or minimum release requirement for the project. It discusses various aspects of the license application, environmental assessment, and terms and conditions of the license, but does not specify a minimum flow value with units or any important conditions related to flow releases.",To Review
P10813_License_19920925.pdf,No separate minimum flow required (must follow all USACE minimums and whitewater release schedules),Not mentioned.,To Review
P10853_License_19911205.pdf,"30 cfs (day after Labor Day-March 31), 110 cfs (April-May), 60 cfs (June-Labor Day); all to Hoot Lake Diversion Dam bypassed reach, or inflow if less","30 cfs from the day after Labor Day through March, 110 cfs during April and May, and 60 cfs June through Labor Day.",To Review
P11243_License_19971224.pdf,"5 cfs required (or inflow, if less)","Not mentioned. 

The document does not mention any minimum flow requirements, including minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows.",To Review
P11588_License_20021015.pdf,"5 cfs required (or natural streamflow, whichever is less)","5 cfs continuous 

This is mentioned in Article 411 and also described in the project description as ""an intake structure with an orifice that would continuously release 5 cubic feet per second (cfs)"".",To Review
P11659_License_20041029.pdf,"5-7 cfs required (or natural inflow, if less; to bypassed reach)","Not mentioned 

The document does not specify a minimum flow requirement or minimum release requirement for the Falls Creek Project. Although it mentions that ""The bypassed reach would be subject to a minimum flow requirement,"" it does not provide the actual flow value or any conditions related to this requirement.",To Review
P11841_License_20090317.pdf,"6-11 cfs required (or natural inflow, if less, to lower Whitman Creek)","Not mentioned. 

Although there are mentions of flows, such as the average annual inflow into Whitman Lake (75 cfs) and the flow drawn by the Whitman Hatchery (30 cfs), these do not appear to be minimum flow requirements or releases mandated for environmental or licensing purposes. The text discusses various aspects of the project, including its facilities, operations, and environmental considerations, but it does not specify a minimum flow requirement that must be maintained for environmental protection or other reasons.",To Review
P1235_License_19890531.pdf,"25 cfs required (or inflow, if less)","25 cfs (leakage from Taintor gates, which bypasses the turbines and adequately protects the aquatic environment downstream)",To Review
P12379_License_20031224.pdf,No minimum flow required,"Not mentioned. 

The document does not mention any minimum flow requirements, including minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows. The Settlement Agreement between Alaska Fish & Game and LDHI mentions that no reservoir operational restrictions or instream flow requirements would be recommended, but it does not provide any specific flow values or conditions.",To Review
P12775_License_20110421.pdf,"6 cfs (Oct 1-Apr 30); stepped down from 4 cfs to 1 cfs (May 1-Sept 30), per schedule","Not mentioned. 

The document does not mention any minimum flow requirements or releases for the Spearfish Hydroelectric Project. It describes the project's facilities, operation, and environmental considerations but does not specify any minimum instantaneous flow, daily average flow, base flow requirements, environmental flow requirements, or required continuous releases.",To Review
P13124_License_20130801.pdf,"10 cfs (June 16-Oct 31), 8 cfs (Nov 1-June 15), 2 cfs year-round at diversion dam","10 cfs (June 16 through October 31), 8 cfs (November 1 through June 15) for seasonal releases at the diversion dam to maintain minimum flow in the lower bypassed reach, and a minimum flow of 2 cfs at the diversion dam into the bypassed reach when the project is operating. 

The most specific or restrictive requirement appears to be: 
- 10 cfs (June 16 through October 31)
- 8 cfs (November 1 through June 15)
- 2 cfs minimum flow at the diversion dam when the project is operating.",To Review
P13526_License_20100819.pdf,Run-of-river required; no minimum cfs specified,"Not mentioned. 

The document does not mention any minimum flow requirements or releases for the project. It discusses the existing dam, powerhouse, and water uses in the area, but does not specify any minimum flow values or conditions.",To Review
P14066_License_20130129.pdf,"10 cfs required (year-round, base of Gartina Falls)","10 cfs continuous, through an 80-foot-long, 12-inch-diameter minimum flow pipe conveying discharge flow to the base of Gartina Falls.",To Review
P1432_License_19900611.pdf,Not mentioned,"Not mentioned. 

The document does not mention any minimum flow requirements, including minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows.",To Review
P1494_License_19920424.pdf,Not mentioned (no required minimum flow),"Not mentioned. 

The text does not mention any minimum flow requirements or releases for the project. It discusses various environmental measures, such as reservoir level management, mudflat seeding, and dissolved oxygen monitoring, but does not specify a minimum flow requirement.",To Review
P1773_License_19921015.pdf,"35 cfs (April 1-Sept 30), 20 cfs (Oct 1-Mar 31) required (or natural flow, if less)",Not mentioned.,To Review
P1922_License_19941107.pdf,5.6 cfs,"Not mentioned. 

The document does not mention any minimum flow requirements or releases for the project. It discusses various aspects of the project, including its description, license application, conservation efforts, compliance history, and safety management, but does not specify any minimum flow requirements.",To Review
P1960_License_20040415.pdf,"750 cfs required (or inflow to Big Falls Project, whichever is less, during exceptions to normal operation)","Not mentioned. 

The document does not mention a minimum flow requirement or minimum release requirement for the project. It discusses various aspects of the project, including water quality certification, fishway prescriptions, and threatened and endangered species, but does not specify a minimum flow rate.",To Review
P201_License_20030827.pdf,8.2 cfs,8.0 cfs continuous (to maintain a continuous water supply to the hatchery),To Review
P2169_License_20050125.pdf,"Monthly minimum base flows: Tier A (Jan: 50 cfs, Feb: 100 cfs, Mar: 100 cfs, Apr: 160 cfs, May: 100 cfs, Jun: 90 cfs, Jul: 60 cfs, Aug: 50 cfs, Sep: 50 cfs, Oct: 50 cfs, Nov: 50 cfs, Dec: 60 cfs). Tier B (Jan: 50 cfs, Feb: 90 cfs, Mar: 90 cfs, Apr: 90 cfs, May: 90 cfs, Jun: 80 cfs, Jul: 50 cfs, Aug: 40 cfs, Sep: 40 cfs, Oct: 40 cfs, Nov: 40 cfs, Dec: 50 cfs).","Not mentioned. 

The document does not mention a minimum flow requirement or minimum release requirement for the Tapoco Hydroelectric Project. It discusses the project's operations, license, and environmental assessment, but does not specify a minimum flow value with units or conditions.",To Review
P2170_License_20070824.pdf,"10-30 cfs required (variable, see excerpt)","The minimum flow requirement for this project is: 

""10-30 cfs year-round, peaking at up to 30 cfs from June through October"" into Cooper Creek.

This is the most specific and restrictive flow requirement mentioned in the document. Note that there is no existing minimum flow requirement for Cooper Creek prior to this new license.",To Review
P2230_License_20070710.pdf,"70 cfs required (April 15-June 30), 50 cfs required (July 1-April 14)","50 cfs year-round from the Fish Valve Unit into the Sawmill Creek bypassed reach, except during the months of December through April, when the City must release either 37 or 22 cfs from the Fish Valve Unit when the Blue Lake water surface drops below elevations 336 and 324 msl, respectively. However, the proposed measures suggest a revised flow requirement: 70 cfs or the maximum hydraulic capacity (whichever is less) from April 15 through June 30, and 50 cfs from July 1 through April 14.

The most specific and restrictive flow requirement mentioned in the document for the new license is:
70 cfs (or the maximum hydraulic capacity, whichever is less) from April 15 through June 30, and 
50 cfs from July 1 through April 14.",To Review
P2232_License_20151125.pdf,"Mandated minimum continuous flow (by development):- Bridgewater: 95-145 cfs- Catawba Dam: 50 or 75 cfs (seasonal)- Rhodhiss: ~40 cfs- Oxford: 150 cfs- Lookout Shoals: 80 cfs- Cowans Ford: ~80 cfs- Mountain Island: ~80 cfs- Wylie: 1,100 cfs- Fishing Creek: leakage (no new mandate)- Great Falls Diversion Dam Long Bypass: 450-850 cfs (seasonal)- Great Falls Headworks Short Bypass: 100 cfs- Rocky Creek-Cedar Creek: leakage (no new mandate)- Wateree: 930-2,700 cfs (seasonal).Most instantaneous minimum flows have been replaced by continuous minimum flows at higher levels; some locations also have daily average requirements and spring spawning periods.","Not mentioned. 

The text does not mention any specific minimum flow requirements, such as minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows. Therefore, the answer is ""Not mentioned"".",To Review
P2307_License_20180206.pdf,"3 cfs required (Salmon Creek bypassed reach, conditional)","Not mentioned 

Although there is information about the project's flow capacity, operation, and reservoir management, there is no specific mention of a minimum flow requirement or minimum release requirement for the project. It is noted that ""There are no minimum flow requirements for the bypassed reach at the Annex Creek Development,"" but this does not provide a specific flow value or condition.",To Review
P2373_License_19930930.pdf,"300 cfs minimum flow into the bypass reach below the spillway, or inflow to the project reservoir, whichever is less.",300 cfs (minimum flow in the bypass reach),To Review
