Row_Number,Project_Name,filename,Project_Location,Minimum_Flow_Value,Minimum_Flow_Inferred_Context,Minimum_Flow_Exact_Sentences
1,Bonneville Project,Bonneville Dam Reservoir Regulation Manual_OCT2014_Redacted.pdf,"Columbia River, on the border of Washington and Oregon","58,000 cfs","Multiple minimum flows exist for Bonneville Dam: (1) BASE OPERATIONAL: 70,000-80,000 cfs minimum instantaneous flows depending on weekly inflow for peaking operations and navigation; (2) DAILY MINIMUM: No explicit daily minimum mentioned, but operational context suggests maintaining pool elevations for power generation and navigational benefits with minimal obstruction to anadromous fish; (3) EXCEPTIONAL MINIMUM: 58,000 cfs allowed only between November 1 and December 31 when standard minimum releases cause tailwater elevation to exceed 11.5 feet during chum spawning. This exceptional minimum is based on navigational requirements for commercial vessels in the Federal navigation channel.

[SCORING: 110 points - Protected successful extraction: +45, Operational context (>1000 cfs): +35, Strong regulatory language: +15, Dam location (primary): +15]","['During times of high backwater effects due to rising tide or rising local flows below Bonneville, if the minimum flow releases 70,000 to 80,000 cfs cause the tailwater to exceed El. 11.5 feet, these flows may be reduced to as low as 58,000 cfs to aid in maintaining the tailwater at El. 11.5 feet.', 'A minimum flow of 58,000 cfs was chosen based on navigational needs.', 'According to file documents, a minimum flow released from Bonneville of 58,000 cfs is required to support commercial navigation vessels in the Federal navigation channel between Bonneville Dam and Vancouver, Washington.']"
2,Grand Coulee Dam Project,Grand Coulee WCM.pdf,"Columbia River, near Grand Coulee, Grant County, Washington","36,000 cfs","** This flow is required to be maintained below Priest Rapids Dam, as specified in the Federal Energy Regulatory Commission (FERC) license requirement for Priest Rapids Dam project

[SCORING: 30 points - Strong regulatory language: +15, Dam location (primary): +15]","sentences supporting this requirement:**
* ""If the elevation at the project is below the computed variable refill curve, the outflow will be reduced to an average daily flow sufficient to maintain the 36,000 cfs minimum discharge below Priest Rapids Dam Federal Energy Regulatory Commission license requirement for Priest Rapids Dam project."
3,Peliccan Hydroelectric Water Power Project,P10198_License_19880427.pdf,"Pelican Creek, near Pelican, Sitka Borough, Alaska",3 cfs,"** This minimum flow is required immediately below the point of diversion in Pelican Creek

[SCORING: 15 points - Strong regulatory language: +15]","sentences:**
* ""Article 105."
4,Cannelton Project No. 10228,P10228_License_19910621.pdf,"Ohio River, near Cannelton Locks and Dam, Hancock County, Kentucky",4000 cfs,"** This minimum flow is required to be released through the Taintor gates of the dam during the operation of the power plant

[SCORING: 55 points - Environmental flow context: +25, Strong regulatory language: +15, Dam location (primary): +15]","sentences supporting this requirement:**
* ""A minimum flow of 4,000 cubic feet per second cfs would be released through the Taintor gates of the dam during the operation of the power plant to protect aquatic habitat below the dam WV Hydro, Inc."
"[SCORING: 15 points - Strong regulatory language: +15]""",No separate minimum flow requirement found in document,,,,,
6,Skagway-Dewey Lakes Hydroelectric Project,P1051_License_20070817.pdf,"Icy Creek, near Reid Falls dam, Skagway-White Pass National Historic Landmark District, Alaska",0.464 cfs,"The minimum flow of 0.464 cfs is required to accommodate the City of Skagway's water right of up to 300,000 gallons per day from Dewey reservoir. This flow is part of the project operations plan, which includes protocols for altering project operations to accommodate requests from the Jerry Meyers Hatchery and the City of Skagway for chinook salmon fry imprinting or broodstock collection. The plan must be approved by the Commission before implementation.

[SCORING: 15 points - Strong regulatory language: +15]","['The plan shall include at a minimum, protocols for altering project operations to accommodate: 1 A request of the Jerry Meyers Hatchery andor the City of Skagway to temporarily increase or decrease flows into Pullen Creek for chinook salmon fry imprinting or broodstock collection; and 2 A request from the City of Skagway needed to exercise its water right of up to 300,000 gallons 0.464 cfs per day from Dewey reservoir.']"
7,Burnett River Hatchery Project,P10773_License_19900131.pdf,"Burnett River, Alaska",55 cfs,"The Forest Service recommends a continuous minimum in-stream flow of 55 cfs in the Burnett River. This is the absolute lowest minimum flow value mentioned and is required for environmental purposes, specifically to support fish habitats and other aquatic life. There are no seasonal variations or conditional minimums mentioned; this minimum flow is recommended to be maintained continuously.

[SCORING: 48 points - Environmental flow context: +25, Strong regulatory language: +15, Seasonal/temporal specificity: +8]","['The Forest Service recommends a continuous minimum in-stream flow of 55 cfs.', 'The average annual flow of Burnett River is about 80 cfs. The Forest Service recommends a continuous minimum in-stream flow of 55 cfs. AAI estimates the project would generate about 2.75 GWh annually.']"
8,Summersville Hydroelectric Project,P10813_License_19920925.pdf,"Gauley River, near Summersville, Nicholas County, West Virginia",100.0 cfs,"The minimum flow of 100.0 cfs is required for operational purposes, specifically for navigation and powerhouse operations, as referenced in Section 202.

[SCORING: 23 points - Strong regulatory language: +15, Powerhouse location: +8]",['Section 202 → 100.0 cfs']
9,Otter Tail River Project,P10853_License_19911205.pdf,No minimum flow requirement,15 cfs,"The Otter Tail River Project has multiple minimum flow requirements. The lowest minimum flow is 15 cfs, which is required from October 1 through March 31 in the bypassed reach of the river between the Hoot Lake Diversion dam and Hoot Lake powerhouse. Other seasonal minimum flows include 60 cfs during April and May, and 30 cfs from June 1 through September 30. These requirements are part of the license conditions for the project.

[SCORING: 63 points - Environmental flow context: +25, Strong regulatory language: +15, Seasonal/temporal specificity: +8, Small precise dam flow (≤15 cfs): +15]","['il has not agreed ttit h our requireaent for iniu. flows in the bypassed reach of the otter Tail River 4cnmtreUl of Boot Lake Diversion du. otter Tail proposed the following iniaua flows in the 8.2-ile-lonq bypassed reacti of the otter Tail River between the Hoot Lake Diversion du and Hoot Lake powerhouse: 15 cfa froa October 1 through Ma:ch 31, 60 cfs durinq April and May, and 30 cfs fro June 1 tru.ough Septellber 30.']"
10,Power Creek Hydroelectric Project,P11243_License_19971224.pdf,"Power Creek, near Cordova, southeast Alaska",5 cfs,"The minimum flow of 5 cfs is required in the bypassed reach to mitigate impacts on resident and anadromous fish habitat. This flow requirement is part of the environmental measures recommended for the Power Creek Project to minimize adverse effects on the environment.

[SCORING: 43 points - Environmental flow context: +25, Strong regulatory language: +15, Auxiliary location: +3]",['A small amount of resident and anadromous fish habitat may be lost in the bypassed reach by reducing the flow in the bypassed reach to a minimum of 5 cfs.']
